(49.9, 3.4, -9.0)
(52.9, 5.1, -9.0)
(53.6, 5.2, -9.0)
(56.3, 4.8, -9.0)
(58.3, 2.8, -9.0)
(62.0, 1.9, -9.0)
(65.5, 2.8, -9.0)
(69.0, 5.1, -9.0)
(72.7, 2.7, -9.0)
(76.4, 2.3, -9.0)
(78.8, 3.8, -9.0)
(81.5, 0.3, -9.0)
(84.0, 0.6, -9.0)
(84.2, 0.6, -9.0)
(86.0, 2.9, -9.0)
(87.9, 2.5, -9.0)
(90.7, 0.2, -9.0)
(91.6, 0.6, -9.0)
(93.3, 2.1, -9.0)
(91.9, 4.9, -9.0)
(95.7, 5.3, -9.0)
(101.6, 2.4, -9.0)
(1.3, 3.2, -9.0)
(2.9, 0.7, -9.0)
(3.3, 1.9, -9.0)
(1.9, 3.9, -9.0)
(1.2, 1.2, -9.0)
(0.6, 1.4, -9.0)
(-2.9, 6.0, -9.0)
(6.1, 4.1, -9.0)
(10.3, 3.6, -9.0)
(15.7, 1.9, -9.0)
(20.3, 3.1, -9.0)
(20.2, 2.2, -9.0)
(5.1, 2.8, -9.0)
(5.9, 4.3, -9.0)
(11.1, 3.6, -9.0)
(16.2, 1.3, -9.0)
(19.3, 4.4, -9.0)
(22.6, 1.0, -9.0)
(5.2, 2.7, -9.0)
(6.2, 4.3, -9.0)
(12.4, 3.3, -9.0)
(19.7, 3.2, -9.0)
(27.6, 3.6, -9.0)
(30.6, 3.8, -9.0)
(34.9, 1.7, -9.0)
(37.8, 3.1, -9.0)
(42.6, 1.9, -9.0)
(46.9, 1.9, -9.0)
(50.4, 4.1, -9.0)
(53.5, 5.3, -9.0)
(5.0, 4.3, -9.0)
(7.7, 4.2, -9.0)
(11.7, 3.1, -9.0)
(19.1, 3.7, -9.0)
(26.8, 3.4, -9.0)
(30.2, 3.1, -9.0)
(35.0, 2.6, -9.0)
(37.9, 2.9, -9.0)
(41.4, 2.2, -9.0)
(46.7, 1.8, -9.0)
(50.2, 3.4, -9.0)
(53.4, 5.4, -9.0)
(56.7, 5.3, -9.0)
(58.8, 2.8, -9.0)
(62.1, 1.8, -9.0)
(66.4, 2.8, -9.0)
(66.2, 4.0, -9.0)
(69.3, 4.8, -9.0)
(69.4, 5.2, -9.0)
(73.2, 2.6, -9.0)
(76.5, 2.4, -9.0)
(79.1, 3.6, -9.0)
(81.1, 0.6, -9.0)
(84.5, 0.5, -9.0)
(86.3, 3.2, -9.0)
