(11.0, -0.2, 0.0)
(11.0, 0.2, 0.0)
(14.6, 3.4, 0.0)
(14.6, 4.4, 0.0)
(27.2, 2.0, 0.0)
(16.7, 3.3, 0.0)
(31.8, 2.0, 0.0)
(11.0, 0.0, 0.0)
(12.4, 1.9, 0.0)
(25.6, 0.4, 0.0)
(25.6, 0.1, 0.0)
(12.5, 1.9, 0.0)
(30.8, 5.3, 0.0)
(20.4, 5.3, 0.0)
(17.9, 1.8, 0.0)
(20.3, 4.2, 0.0)
(20.3, 3.8, 0.0)
(12.4, 1.9, 0.0)
(17.8, 1.4, 0.0)
(11.2, 1.9, 0.0)
(30.8, 3.7, 0.0)
(14.7, 3.8, 0.0)
(31.9, 3.3, 0.0)
(17.8, 1.5, 0.0)
(17.8, 1.3, 0.0)
(28.6, 2.0, 0.0)
(12.7, 1.9, 0.0)
(37.6, 3.4, 0.0)
(67.9, 1.6, 0.0)
(42.4, 1.7, 0.0)
(92.9, -0.4, 0.0)
(92.9, 1.6, 0.0)
(20.4, 3.5, 0.0)
(95.5, 4.7, 0.0)
(20.3, 3.6, 0.0)
(20.4, 3.6, 0.0)
(30.9, 3.4, 0.0)
(25.6, -0.3, 0.0)
(12.9, 1.9, 0.0)
(25.6, 0.1, 0.0)
(25.6, 1.3, 0.0)
(13.0, 1.9, 0.0)
(48.0, 1.1, 0.0)
(25.6, 0.7, 0.0)
(47.9, 1.5, 0.0)
(20.6, 3.3, 0.0)
(20.6, 3.3, 0.0)
(11.0, 0.2, 0.0)
(25.6, 0.9, 0.0)
(17.8, 1.8, 0.0)
(20.3, 3.7, 0.0)
(67.9, 3.6, 0.0)
(67.9, 4.2, 0.0)
(17.8, 1.6, 0.0)
(25.6, 1.3, 0.0)
(25.6, 1.5, 0.0)
(57.8, 3.8, 0.0)
(43.1, 1.4, 0.0)
(57.7, 3.8, 0.0)
(12.8, 1.9, 0.0)
(43.5, 1.4, 0.0)
(14.6, 3.4, 0.0)
(25.6, 1.7, 0.0)
(12.4, 1.9, 0.0)
(95.4, 4.2, 0.0)
(13.0, 1.8, 0.0)
(17.9, 1.8, 0.0)
(12.5, 1.9, 0.0)
(25.6, 0.7, 0.0)
(25.6, -0.4, 0.0)
(25.6, 0.8, 0.0)
(39.2, 2.0, 0.0)
