(-1.0, -0.4, 0.0)
(0.4, 0.3, 0.0)
(2.9, 1.5, 0.0)
(4.7, 2.5, 0.0)
(6.4, 3.4, 0.0)
(9.2, 3.5, 0.0)
(11.9, 2.8, 0.0)
(14.3, 2.1, 0.0)
(16.9, 2.2, 0.0)
(19.2, 2.8, 0.0)
(22.2, 2.9, 0.0)
(24.3, 2.9, 0.0)
(23.9, 1.5, 0.0)
(22.8, -0.4, 0.0)
(-1.0, -0.4, 0.0)
(0.8, -0.3, 0.0)
(2.6, -0.1, 0.0)
(4.6, 0.2, 0.0)
(7.2, 0.7, 0.0)
(9.2, 1.2, 0.0)
(11.1, 1.6, 0.0)
(11.2, 1.7, 0.0)
(11.2, 1.7, 0.0)
(11.2, 1.7, 0.0)
(11.2, 1.7, 0.0)
(11.2, 1.7, 0.0)
(11.2, 1.7, 0.0)
(-1.0, -0.4, 0.0)
